0,14
1,63
2,6
3,139
4,7
5,29
6,7
7,30
8,24
9,73
10,60
11,82
12,3
13,74
14,9
15,27
16,14
17,2
18,22
19,107
20,77
21,37
22,20
23,4
24,1
25,37
26,56
27,65
28,14
29,23
30,90
31,119
32,1
33,253
34,1
35,62
36,24
37,1
38,10
39,79
40,11
41,16
42,7
43,36
44,6
45,8
46,2
47,118
48,4
49,19
50,16
51,28
52,35
53,37
54,19
55,40
56,56
57,321
58,95
59,70
60,1
61,12
62,12
63,25
64,96
65,29
66,131
67,24
68,3
69,69
70,59
71,36
72,53
73,92
74,144
75,62
76,31
77,3
78,4
79,93
80,14
81,26
82,17
83,13
84,8
85,16
86,85
87,26
88,24
89,206
90,38
91,68
92,14
93,81
94,35
95,15
96,23
97,137
98,6
99,40
100,5
101,56
102,95
103,9
104,46
105,59
106,29
107,44
108,1
109,50
110,103
111,89
112,1
113,97
114,131
115,10
116,3
117,25
118,99
119,120
120,77
121,111
122,1
123,8
124,26
125,11
126,17
127,132
128,18
129,10
130,26
131,8
132,4
133,24
134,95
135,10
136,59
137,7
138,41
139,40
140,25
141,109
142,18
143,28
144,9
145,71
146,37
147,79
148,98
149,5
150,95
151,26
152,4
153,102
154,45
155,17
156,8
157,3
158,150
159,38
160,58
161,34
162,93
163,95
164,13
165,116
166,100
167,38
168,248
169,68
170,18
171,191
172,144
173,19
174,68
175,4
176,21
177,31
178,40
179,11
180,131
181,2
182,76
183,104
184,39
185,60
186,43
187,28
188,45
189,3
190,28
191,34
192,22
193,94
194,76
195,59
196,48
197,6
198,7
199,26
200,88
201,101
202,3
203,56
204,171
205,3
206,30
207,34
208,17
209,90
210,4
211,185
212,93
213,73
214,22
215,17
216,13
217,29
218,52
219,42
220,56
221,19
222,33
223,62
224,41
225,69
226,58
227,8
228,35
229,34
230,5
231,32
232,5
233,53
234,47
235,14
236,25
237,1
238,1
239,40
240,14
241,50
242,15
243,6
244,3
245,61
246,40
247,6
248,1
249,22
250,76
251,2
252,17
253,77
254,20
255,75
256,11
257,95
258,62
259,48
260,100
261,45
262,138
263,45
264,43
265,91
266,138
267,65
268,168
269,11
270,38
271,24
272,1
273,40
274,31
275,74
276,54
277,1
278,2
279,1
280,52
281,17
282,63
283,49
284,143
285,33
286,93
287,230
288,11
289,14
290,146
291,5
292,4
293,1
294,45
295,25
296,23
297,19
298,141
299,75
300,4
301,6
302,74
303,35
304,38
305,8
306,33
307,57
308,32
309,31
310,15
311,42
312,33
313,30
314,131
315,109
316,79
317,113
318,25
319,93
320,30
321,77
322,94
323,54
324,1
325,27
326,2
327,3
328,53
329,362
330,125
331,23
332,11
333,98
334,123
335,124
336,81
337,97
338,9
339,56
340,8
341,37
342,43
343,51
344,38
345,57
346,4
347,137
348,39
349,37
350,69
351,5
352,33
353,4
354,202
355,181
356,16
357,95
358,124
359,42
360,164
361,264
362,31
363,118
364,137
365,90
366,44
367,58
368,117
369,35
370,199
371,134
372,1
373,1
374,1
375,1
376,1
377,24
378,40
379,35
380,116
381,16
382,164
383,30
384,33
385,214
386,60
387,5
388,8
389,5
390,11
391,1
392,9
393,28
394,104
395,267
396,12
397,55
398,107
399,105
400,157
401,63
402,66
403,91
404,93
405,131
406,78
407,627
408,51
409,32
410,14
411,29
412,67
413,154
414,1
415,61
416,11
417,29
418,138
419,41
420,74
421,90
422,102
423,271
424,230
425,155
426,154
427,88
428,18
429,11
430,108
431,58
432,24
433,52
434,172
435,74
436,45
437,59
438,266
439,31
440,8
441,325
442,44
443,60
444,101
445,13
446,62
447,19
448,161
449,36
450,2
451,5
452,60
453,67
454,251
455,18
456,91
457,16
458,55
459,626
460,96
461,169
462,26
463,133
464,138
465,308
466,384
467,382
468,77
469,168
470,193
471,5
472,45
473,47
474,60
475,4
476,2
477,82
478,126
479,173
480,12
481,90
482,134
483,401
484,262
485,243
486,87
487,484
488,168
489,189
490,46
491,146
492,85
493,23
494,31
495,26
496,67
497,70
498,50
499,31
500,13
501,169
502,15
503,99
504,242
505,358
506,45
507,10
508,4
509,8
510,6
511,1
512,39
513,38
514,34
515,34
516,28
517,17
518,4
519,96
520,12
521,77
522,17
523,29
524,48
525,117
526,6
527,58
528,42
529,299
530,48
531,130
532,36
533,58
534,16
535,12
536,6
537,35
538,91
539,1
540,3
541,1
542,2
543,30
544,5
545,44
546,90
547,258
548,51
549,101
550,383
551,44
552,179
553,92
554,100
555,144
556,30
557,168
558,120
559,233
560,38
561,85
562,146
563,262
564,224
565,219
566,19
567,85
568,39
569,90
570,124
571,330
572,69
573,52
574,115
575,448
576,64
577,26
578,182
579,199
580,142
581,284
582,198
583,57
584,433
585,5
586,1
587,21
588,1
589,11
590,79
591,111
592,7
593,141
594,100
595,40
596,537
597,99
598,109
599,87
600,38
601,33
602,101
603,215
604,16
605,5
606,10
607,15
608,287
609,97
610,506
611,145
612,63
613,223
614,179
615,85
616,33
617,268
618,36
619,6
620,95
621,11
622,198
623,40
624,41
625,6
626,202
627,9
628,20
629,333
